time_s,biomass_gDW,glc__D_e,o2_e,nh4_e,pi_e,h_e,h2o_e,co2_e,ac_e,acald_e,akg_e,etoh_e,for_e,fru_e,fum_e,gln__L_e,glu__L_e,lac__D_e,mal__L_e,pyr_e,succ_e
1106.0,2.092210048507817,4.826571316133811,7.468663093622047e-64,17.962404928120716,63.81575896953455,18.87808589764445,55495.73818108653,0.0,5.265307744319489,0.0,0.0,5.240464703659846,10.917635444379453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108.0,2.0923278218730537,4.815067102810308,5.7324395410225436e-64,17.96108646306833,63.81486947470837,18.912583630893554,55495.73018769021,0.0,5.2748865000832215,0.0,0.0,5.250219438528833,10.937703994753821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110.0,2.092445487900653,4.803562523724697,4.399757014479581e-64,17.959767970489924,63.813979961311915,18.94708246111777,55495.72219400143,0.0,5.284465581410666,0.0,0.0,5.2599745026355045,10.957773215275664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112.0,2.092563046760469,4.792057580843983,3.37684015750102e-64,17.958449450681247,63.813090429544715,18.981582382419425,55495.71420002136,0.0,5.294044986766719,0.0,0.0,5.269729894405281,10.977843102670416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1114.0,2.092680498621775,4.780552276144026,2.591701165456194e-64,17.957130903939557,63.81220087960732,19.016083388874303,55495.70620575118,0.0,5.303624714609635,0.0,0.0,5.279485612256743,10.997913653649185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1116.0,2.0927978436532637,4.7690466116096335,1.989078666877805e-64,17.95581233056365,63.811311311701296,19.050585474531356,55495.69821119209,0.0,5.313204763390953,0.0,0.0,5.289241654601549,11.017984864908591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1118.0,2.092915082023047,4.757540589234662,1.526552050777963e-64,17.95449373085386,63.810421726029276,19.085088633412415,55495.69021634528,0.0,5.322785131555424,0.0,0.0,5.298998019844362,11.038056733130606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120.0,2.0930322138986583,4.746034211022111,1.1715582940483617e-64,17.953175105112084,63.80953212279493,19.119592859511886,55495.68222121196,0.0,5.332365817540936,0.0,0.0,5.308754706382775,11.058129254982397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1122.0,2.093149239447052,4.734527478984229,8.991017107257641e-65,17.951856453641806,63.80864250220299,19.154098146796464,55495.674225793315,0.0,5.341946819778434,0.0,0.0,5.318511712607228,11.078202427116157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1124.0,2.093266158834605,4.723020395142609,6.899957038378556e-65,17.9505377767481,63.80775286445929,19.188604489204817,55495.66623009057,0.0,5.351528136691849,0.0,0.0,5.328269036900933,11.098276246168945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126.0,2.0933829722271162,4.711512961528294,5.295129642172948e-65,17.949219074737652,63.80686320977072,19.22311188064728,55495.65823410493,0.0,5.361109766698017,0.0,0.0,5.33802667763979,11.118350708762518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
