time_s,biomass_gDW,glc__D_e,o2_e,nh4_e,pi_e,h_e,h2o_e,co2_e,ac_e,acald_e,akg_e,etoh_e,for_e,fru_e,fum_e,gln__L_e,glu__L_e,lac__D_e,mal__L_e,pyr_e,succ_e
28.0,2.005565515386119,10.934838148859967,0.0030406319299136494,18.664184546350633,64.28921053232472,0.5581791706800924,55499.974704123495,0.0,0.17886390328933618,0.0,0.0,0.06643369813203373,0.2659102238083408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0058139533187145,10.923746833716468,0.0023830502847574367,18.66278140323689,64.28826390993392,0.5920948336541925,55499.96800668827,0.0,0.1885636805272662,0.0,0.0,0.07500559339533899,0.2849641650643034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,2.0060571489748176,10.912654195909768,0.0018643060525896514,18.661405295206762,64.287335526606,0.6258759328667473,55499.961097103784,0.0,0.19816542446091756,0.0,0.0,0.08375352173443322,0.30408103371534856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.0062960940530883,10.901560264553375,0.0014563663543335457,18.660050736755988,64.28642168157724,0.6595503518365594,55499.95401803886,0.0,0.20768912794527375,0.0,0.0,0.09264214241127272,0.32324854011142523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.006531595402719,10.890465063276363,0.0011363708688955478,18.658713254540295,64.28551935693176,0.6931408294213355,55499.94680428909,0.0,0.21715109489810167,0.0,0.0,0.10164263577082555,0.3424566624572036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,2.0067643030114803,10.879368611245756,0.0008858659721743601,18.65738923753681,64.28462611651386,0.7266657209174604,55499.939483942726,0.0,0.2265644863175579,0.0,0.0,0.11073173753605943,0.3616973106614441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,2.0069947364028464,10.86827092403409,0.0006900755010886828,18.656075794358863,64.28374000966625,0.7601397230800473,55499.93207949071,0.0,0.23593984027627096,0.0,0.0,0.11989081937465727,0.38096400644645856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,2.0072233082613726,10.85717201434098,0.0005372437225937827,18.654770624691842,64.28285948449495,0.7935745275356607,55499.92460882676,0.0,0.2452855404784463,0.0,0.0,0.12910506055396442,0.4002515952361984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,2.007450344825493,10.846071892584023,0.00041806532083068175,18.653471907752177,64.28198331261886,0.8269793877613838,55499.91708611501,0.0,0.25460822278980544,0.0,0.0,0.1383627293329036,0.41955599626351664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,2.00767610303781,10.834970567376894,0.00032520405574746464,18.652178208095346,64.28111052562363,0.8603615979269319,55499.90952252262,0.0,0.2639131185449003,0.0,0.0,0.1476545761585953,0.43887399158725504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,2.0079007846944936,10.823868045912606,0.0002528942754927594,18.65088839763578,64.28024036245286,0.8937268893508523,55499.90192682631,0.0,0.27320433877104744,0.0,0.0,0.15697333132329291,0.45820305144792933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,2.0081245479524936,10.8127643342685,0.0001966158654582243,18.649601592036717,64.27937222649385,0.9270797539173141,55499.89430590708,0.0,0.28248510603943194,0.0,0.0,0.1663132952037895,0.47754119182163973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,2.0083475165868365,10.801659437647599,0.00015283204628837297,18.648317099398632,64.2785056509606,0.9604237049739088,55499.88666514932,0.0,0.29175794149142836,0.0,0.0,0.17567000773245492,0.4968868595242395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,2.008569787376497,10.790553360568756,0.0001187796602891347,18.64703437921901,64.2776402712062,0.9937614860107795,55499.87900875996,0.0,0.30102481442781953,0.0,0.0,0.1850399840370191,0.516238840320734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,2.008791435959872,10.779446107015964,9.23025278469261e-05,18.64575300978061,64.27677580272156,1.0270952364875778,55499.87134002211,0.0,0.31028726117756594,0.0,0.0,0.19442050437496028,0.535596185909879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,2.0090125214543417,10.768337680555273,7.171968994257526e-05,18.644472662366663,64.2759120237398,1.0604266229486663,55499.863661495605,0.0,0.31954647908286427,0.0,0.0,0.20380944804515383,0.554958156196198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,2.0092330900870587,10.757228084426158,5.572163535000848e-05,18.643193080952624,64.27504876153547,1.0937569422922004,55499.855975174934,0.0,0.32880340052280665,0.0,0.0,0.2132051625765305,0.5743241738244049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,2.0094531780402907,10.746117321612811,4.3288812724428754e-05,18.641914066258963,64.27418588166576,1.1270872028638685,55499.84828261328,0.0,0.3380587510410691,0.0,0.0,0.22260636100845616,0.59369378847822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,2.009672813676187,10.735005394899698,3.362779016609193e-05,18.640635463257542,64.27332327954184,1.1604181879894122,55499.84058501967,0.0,0.3473130948853914,0.0,0.0,0.23201204141689613,0.6130666489113509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.009892019273264,10.723892306914802,2.6121330458077846e-05,18.639357151401306,64.27246087383733,1.193750505659174,55499.832883334966,0.0,0.356566870620712,0.0,0.0,0.24142142398209793,0.6324424810753847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.01011081237992,10.712778060163277,2.0289403432731512e-05,18.638079036994327,64.27159860134083,1.2270846273285263,55499.82517829119,0.0,0.36582041894056105,0.0,0.0,0.25083390184310583,0.6518210710394747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,2.010329206868317,10.701662657053603,1.5758772757681457e-05,18.636801047239892,64.27073641294044,1.2604209181853108,55499.817470457834,0.0,0.3750740043620585,0.0,0.0,0.26024900276074997,0.671202251666594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,2.010547213754279,10.690546099917922,1.2239291702573425e-05,18.63552312560153,64.26987427049416,1.293759660740625,55499.80976027792,0.0,0.3843278321351682,0.0,0.0,0.26966635923760923,0.6905858922290302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,2.0107648418347344,10.679428391027834,9.505440325403207e-06,18.6342452281898,64.26901214439224,1.32710107320339,55499.80204809612,0.0,0.39358206141305213,0.0,0.0,0.2790856852450042,0.7099718903201443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,2.010982098183059,10.668309532606672,7.381952704198649e-06,18.632967320949508,64.26815001165953,1.3604453237844998,55499.794334180595,0.0,0.40283681550483375,0.0,0.0,0.28850675810565396,0.7293601655579508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,2.0111989885338364,10.657189526839034,5.732632818681705e-06,18.63168937747093,64.26728785447888,1.3937925418275916,55499.78661874005,0.0,0.4120921898537623,0.0,0.0,0.2979294043957437,0.7487506546856115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,2.0114155175816326,10.646068375878185,4.451654549510306e-06,18.63041137728722,64.26642565904244,1.4271428264675814,55499.77890193697,0.0,0.4213482582433469,0.0,0.0,0.30735348897831005,0.768143307760182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,2.0116316892129373,10.634946081851817,3.4567958327616425e-06,18.629133304550297,64.2655634146584,1.460496253364278,55499.77118389789,0.0,0.43060507762376826,0.0,0.0,0.3167789064746922,0.7875380851886736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,2.011847506686194,10.623822646866518,2.684178091654793e-06,18.62785514700134,64.2647011130564,1.4938528799379012,55499.76346472145,0.0,0.43986269186450416,0.0,0.0,0.3262055746334323,0.8069349554235422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,2.012062972771508,10.612698073011241,2.084176752181808e-06,18.626576895170466,64.26383874784766,1.5272127494390915,55499.75574448458,0.0,0.4491211346715626,0.0,0.0,0.33563342917536143,0.8263338931711982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,2.0122780898590573,10.601572362360015,1.6182425884315298e-06,18.625298541754656,64.26297631410522,1.5605758941124255,55499.748023247346,0.0,0.458380431854974,0.0,0.0,0.3450624197868118,0.8457348779995225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,2.012492860043204,10.59044551697404,1.2564313206624906e-06,18.62402008113429,64.26211380803785,1.5939423376550426,55499.74030105672,0.0,0.467640603091049,0.0,0.0,0.35449250700560025,0.8651378932556458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,2.012707285187752,10.579317538903329,9.75483843689262e-07,18.62274150899745,64.26125122673653,1.6273120971272559,55499.73257794949,0.0,0.4769016632918421,0.0,0.0,0.36392365980109487,0.8845429252249379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,2.012921366976571,10.568188430187986,7.573344785037047e-07,18.621462822047967,64.26038856797753,1.6606851844371697,55499.72485395455,0.0,0.4861636236692827,0.0,0.0,0.3733558536938151,0.9039499624774983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,2.013135106952873,10.557058192859198,5.879518997710224e-07,18.6201840177786,64.25952583006935,1.6940616074941965,55499.71712909462,0.0,0.49542649256198945,0.0,0.0,0.382789069294377,0.9233589953603772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,2.0133485065496783,10.54592682894002,4.564386051583052e-07,18.618905094294806,64.25866301173384,1.7274413711052565,55499.70940338768,0.0,0.504690276077652,0.0,0.0,0.3922232911683362,0.9427700156030534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,2.0135615671134524,10.534794340445984,3.5433129521247627e-07,18.617626050177808,64.25780011201384,1.7608244776710154,55499.70167684798,0.0,0.5139549785920908,0.0,0.0,0.40165850695428196,0.9621830160109204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,2.013774289922441,10.523660729385577,2.75057367430881e-07,18.61634688437824,64.2569371302014,1.794210927726747,55499.6939494869,0.0,0.5232206031369518,0.0,0.0,0.4110947066787168,0.9815979902271594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,2.013986676200898,10.512525997760624,2.135127084044379e-07,18.61506759613352,64.25607406578204,1.8276007203624696,55499.686221313576,0.0,0.5324871517008716,0.0,0.0,0.4205318822238337,1.0010149325477462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,2.014198727130123,10.501390147566585,1.657337270935121e-07,18.613788184903683,64.2552109183915,1.8609938535492847,55499.6784923354,0.0,0.5417546254634144,0.0,0.0,0.4299700269140866,1.0204338377777404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,2.0144104438570296,10.4902531807928,1.2864260388220378e-07,18.6125086503215,64.254347687782,1.8943903243928473,55499.67076255842,0.0,0.5510230249767795,0.0,0.0,0.4394091351950497,1.0398547011196462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,2.014621827500791,10.479115099422673,9.984941816858828e-08,18.611228992153787,64.25348437379624,1.9277901293302235,55499.66303198763,0.0,0.5602923503069341,0.0,0.0,0.44884920238397363,1.0592775180866882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,2.0148328791580057,10.467975905433834,7.749846078525674e-08,18.609949210271303,64.25262097634702,1.961193264282773,55499.6553006272,0.0,0.5695626011432258,0.0,0.0,0.45829022447603696,1.0787022844354426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,2.015043599906704,10.456835600798263,6.014886902267079e-08,18.608669304625412,64.25175749540153,1.9945997247748686,55499.64756848069,0.0,0.5788337768835103,0.0,0.0,0.4677321979938616,1.0981289961135021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,2.015253990809463,10.445694187482395,4.668192228224702e-08,18.60738927522994,64.25089393096911,2.0280095060260823,55499.639835551134,0.0,0.5881058767002613,0.0,0.0,0.4771751198706349,1.1175576492188208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,2.015464052915829,10.43455166744721,3.622904603096664e-08,18.606109122147085,64.2500302830917,2.0614226030227605,55499.6321018412,0.0,0.5973788995919064,0.0,0.0,0.48661898735933395,1.1369882399681284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,2.015673787264201,10.423408042648296,2.8115900087299113e-08,18.604828845476476,64.24916655183654,2.0948390105735886,55499.62436735325,0.0,0.6066528444226907,0.0,0.0,0.4960637979622255,1.1564207646723912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,2.015883194883296,10.412263315035931,2.18189593231509e-08,18.603548445346682,64.24830273729035,2.128258723352725,55499.616632089426,0.0,0.6159277099536273,0.0,0.0,0.5055095493761117,1.175855219717745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,2.016092276793293,10.401117486555123,1.693179667510314e-08,18.60226792190862,64.24743883955495,2.161681735933276,55499.608896051664,0.0,0.6252034948665273,0.0,0.0,0.5149562394498063,1.1952916015506776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,2.0163010340067276,10.389970559145665,1.3138901260762945e-08,18.600987275330425,64.24657485874377,2.1951080428132714,55499.60115924178,0.0,0.634480197782654,0.0,0.0,0.5244038661511092,1.2147299066665131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,2.0165094675291866,10.378822534742179,1.0195348292203617e-08,18.59970650579349,64.24571079497919,2.22853763843582,55499.59342166146,0.0,0.6437578172772037,0.0,0.0,0.5338524275411568,1.2341701316004585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,2.0167175783598585,10.367673415274158,7.911013374434395e-09,18.598425613489358,64.24484664839042,2.2619705172047353,55499.58568331233,0.0,0.6530363518905438,0.0,0.0,0.5433019217545009,1.2536122729206418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,2.0169253674919636,10.356523202666,6.1383157663547634e-09,18.59714459861735,64.24398241911194,2.2954066734966556,55499.577944195924,0.0,0.6623158001369335,0.0,0.0,0.5527523469836361,1.2730563272226956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,2.0171328359130922,10.345371898837048,4.762701986034637e-09,18.59586346138269,64.24311810728221,2.328846101670434,55499.57020431373,0.0,0.6715961605112907,0.0,0.0,0.5622037014669814,1.292502291125542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.0,2.017339984605476,10.334219505701613,3.6952573075739613e-09,18.59458220199507,64.2422537130427,2.362288796074409,55499.562463667186,0.0,0.6808774314944398,0.0,0.0,0.571655983479544,1.3119501612681086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.0,2.0175468145462023,10.323066025169021,2.866969524850823e-09,18.59330082066752,64.24138923653712,2.3957347510520357,55499.55472225771,0.0,0.6901596115571819,0.0,0.0,0.5811091913256664,1.3313999343067697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,2.017753326707386,10.31191145914363,2.2242756285806816e-09,18.59201931761555,64.24052467791086,2.429183960946237,55499.54698008668,0.0,0.6994426991634491,0.0,0.0,0.5905633233333898,1.3508516069133487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.0,2.01795952205631,10.300755809524864,1.7256045786632967e-09,18.59073769305648,64.23966003731053,2.462636420102764,55499.53923715546,0.0,0.7087266927727492,0.0,0.0,0.6000183778500742,1.3703051757735574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144.0,2.0181654015555397,10.289599078207244,1.3386934530267898e-09,18.5894559472089,64.23879531488362,2.4960921228727875,55499.5314934654,0.0,0.7180115908420579,0.0,0.0,0.6094743532389928,1.3897606375857743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146.0,2.0183709661630163,10.278441267080417,1.03850403369123e-09,18.58817408029229,64.23793051077818,2.5295510636148935,55499.52374901783,0.0,0.7272973918272834,0.0,0.0,0.6189312478766835,1.4092179890600867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,2.0185762168321366,10.267282378029178,8.056055483492727e-10,18.586892092526686,64.23706562514268,2.5630132366966123,55499.51600381407,0.0,0.7365840941843981,0.0,0.0,0.6283890601508885,1.4286772269175354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,2.0187811545118195,10.2561224129335,6.249193053553518e-10,18.585609984132446,64.23620065812575,2.5964786364955907,55499.508257855414,0.0,0.7458716963703129,0.0,0.0,0.6378477884589492,1.448138347889521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152.0,2.0189857801465645,10.244961373668565,4.84744271037777e-10,18.58432775533006,64.23533560987617,2.629947257400483,55499.500511143175,0.0,0.7551601968435506,0.0,0.0,0.6473074312065566,1.4676013487173296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154.0,2.0191900946765005,10.233799262104784,3.760007393168179e-10,18.583045406340013,64.23447048054268,2.6634190938116267,55499.492763678645,0.0,0.7644495940647638,0.0,0.0,0.656767986806776,1.487066226151759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156.0,2.0193940990374317,10.222636080107826,2.916432986984959e-10,18.581762937382656,64.23360527027394,2.6968941401415476,55499.485015463106,0.0,0.7737398864971325,0.0,0.0,0.6662294536792848,1.5065329769528155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158.0,2.0195977941608776,10.211471829538647,2.2620521484316903e-10,18.58048034867814,64.23273997921847,2.7303723908153392,55499.47726649784,0.0,0.7830310726066682,0.0,0.0,0.6756918302497772,1.5260015978894692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,2.019801180974109,10.20030651225351,1.7544482018855262e-10,18.57919764044634,64.23187460752459,2.763853840270935,55499.46951678412,0.0,0.7923231508624442,0.0,0.0,0.6851551149494965,1.545472085739456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.0,2.0200042604001833,10.189140130104017,1.3607108081178418e-10,18.577914812906794,64.23100915534044,2.7973384829593075,55499.46176632322,0.0,0.8016161197367716,0.0,0.0,0.6946193062148682,1.5649444372891121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164.0,2.020207033357975,10.177972684937128,1.0553061830255628e-10,18.57663186627869,64.23014362281388,2.830826313344603,55499.454015116404,0.0,0.8109099777053292,0.0,0.0,0.7040844024872096,1.5844186493332384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166.0,2.0204095007622067,10.166804178595193,8.184242973539456e-11,18.575348800780812,64.22927801009253,2.8643173259042314,55499.44626316493,0.0,0.8202047232472612,0.0,0.0,0.7135504022125009,1.6038947186749828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.0,2.020611663523477,10.155634612915971,6.346962723900303e-11,18.574065616631533,64.22841231732369,2.897811515128917,55499.43851047006,0.0,0.8295003548452479,0.0,0.0,0.723017303841202,1.6233726421257413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170.0,2.0208135225482895,10.14446398973266,4.921990846153429e-11,18.572782314048787,64.22754654465439,2.9313088755227263,55499.43075703305,0.0,0.8387968709855559,0.0,0.0,0.7324851058281064,1.6428524165050713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.0,2.0210150787390777,10.133292310873918,3.816832440056748e-11,18.57149889325007,64.22668069223137,2.9648094016030666,55499.42300285515,0.0,0.8480942701580731,0.0,0.0,0.7419538066322227,1.6623340386406147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.0,2.0212163329942325,10.12211957816389,2.9597351165644264e-11,18.57021535445242,64.22581476020105,2.9983130879006734,55499.4152479376,0.0,0.8573925508563309,0.0,0.0,0.7514234047166782,1.6818175053680282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.0,2.0214172862081266,10.110945793422232,2.295039010212647e-11,18.56893169787241,64.22494874870954,3.0318199289595835,55499.40749228164,0.0,0.8666917115775168,0.0,0.0,0.7608938985486401,1.701302813530921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.0,2.02161793927114,10.099770958464136,1.77956884057919e-11,18.567647923726167,64.22408265790266,3.065329919337097,55499.39973588853,0.0,0.8759917508224802,0.0,0.0,0.7703652865992487,1.7207899599807965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,2.021818293069684,10.088595075100354,1.3798345859522329e-11,18.56636403222933,64.22321648792587,3.098843053603731,55499.39197875949,0.0,0.8852926670957324,0.0,0.0,0.7798375673435625,1.740278941576998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.0,2.0220183484862266,10.077418145137223,1.0698596074073978e-11,18.565080023597083,64.22235023892435,3.1323593263431704,55499.384220895765,0.0,0.894594458905442,0.0,0.0,0.7893107392605097,1.7597697551866565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.0,2.0222181063993134,10.066240170376686,8.294956344906658e-12,18.563795898044138,64.22148391104297,3.1658787321522124,55499.37646229858,0.0,0.9038971247634269,0.0,0.0,0.7987848008328471,1.7792623976846424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.0,2.0224175676835943,10.055061152616318,6.431155132565469e-12,18.562511655784736,64.22061750442624,3.1994012656407054,55499.36870296915,0.0,0.913200663185144,0.0,0.0,0.8082597505471234,1.798756865953518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.0,2.022616733209844,10.043881093649354,4.985990563702975e-12,18.561227297032655,64.2197510192184,3.23292692143149,55499.360942908716,0.0,0.9225050726896769,0.0,0.0,0.8177355868936462,1.8182531568834912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
