time_s,biomass_gDW,glc__D_e,o2_e,nh4_e,pi_e,h_e,h2o_e,co2_e,ac_e,acald_e,akg_e,etoh_e,for_e,fru_e,fum_e,gln__L_e,glu__L_e,lac__D_e,mal__L_e,pyr_e,succ_e
20.0,2.0058444524439696,10.979166178892953,0.063,18.662712570499775,64.2882174723257,0.43802485451572604,55500.0,0.01450398255011599,0.1453122554944248,0.0,0.0,0.0,0.1738923860638123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,2.0063683660153067,10.968073117290457,0.063,18.659772749086212,64.28623413880273,0.4779034790629734,55500.0,0.015824901365653083,0.1585428627382564,0.0,0.0,0.0,0.1897252593025165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,2.0068910707448766,10.956977209127965,0.063,18.656832168825424,64.28425029332786,0.5177922953060926,55500.0,0.01714621307457873,0.1717768341322496,0.0,0.0,0.0,0.2055621684064467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,2.0074125721598595,10.945878461232999,0.063,18.653890831514317,64.28226593711337,0.5576912785848792,55500.0,0.01846791701463103,0.18501416144686206,0.0,0.0,0.0,0.22140310355547832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,2.007932875749702,10.934776880402872,0.063,18.65094873894176,64.2802810713661,0.5976004043474415,55500.0,0.019790012527523916,0.19825483648836614,0.0,0.0,0.0,0.23724805497241605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.008451986966461,10.923672473404897,0.063,18.64800589288864,64.27829569728753,0.6375196481494412,55500.0,0.021112498958924343,0.21149885109859606,0.0,0.0,0.0,0.25309701292269177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,2.008969911225141,10.912565246976596,0.063,18.645062295127914,64.27630981607378,0.6774489856533394,55500.0,0.022435375658429704,0.22474619715469732,0.0,0.0,0.0,0.2689499677140652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.009486653904029,10.90145520782591,0.063,18.642117947424673,64.27432342891564,0.7173883926276516,55500.0,0.02375864197954545,0.23799686656887847,0.0,0.0,0.0,0.28480690969632716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.010002220345024,10.890342362631397,0.063,18.639172851536188,64.27233653699865,0.7573378449462074,55500.0,0.025082297279662973,0.251250851288165,0.0,0.0,0.0,0.3006678292610055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,2.010516615853965,10.879226718042444,0.063,18.636227009211964,64.2703491415031,0.7972973185874176,55500.0,0.026406340920037703,0.2645081432941553,0.0,0.0,0.0,0.31653271684107365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,2.011029845700954,10.868108280679463,0.063,18.6332804221938,64.26836124360409,0.8372667896335478,55500.0,0.027730772265767402,0.277768734602779,0.0,0.0,0.0,0.33240156291066164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,2.011541915120674,10.856987057134095,0.063,18.630333092215828,64.26637284447155,0.8772462342699981,55500.0,0.029055590685770717,0.29103261726405727,0.0,0.0,0.0,0.3482743579847697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,2.012052829312709,10.845863053969403,0.063,18.62738502100458,64.26438394527025,0.9172356287845891,55500.0,0.03038079555276592,0.30429978336186514,0.0,0.0,0.0,0.36415109261898443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,2.012562593441851,10.834736277720072,0.063,18.62443621027904,64.26239454715991,0.9572349495668543,55500.0,0.031706386243249875,0.31757022501369603,0.0,0.0,0.0,0.3800317574091975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,2.0130712126384154,10.823606734892603,0.063,18.621486661750676,64.26040465129518,0.997244173107339,55500.0,0.03303236213747721,0.3308439343704283,0.0,0.0,0.0,0.3959163429913264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,2.0135786919985406,10.812474431965505,0.063,18.61853637712352,64.25841425882564,1.0372632759969047,55500.0,0.03435872261943972,0.3441209036160939,0.0,0.0,0.0,0.41180484004103823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,2.0140850365844942,10.801339375389489,0.063,18.615585358094187,64.25642337089592,1.0772922349260399,55500.0,0.03568546707684596,0.3574011249676487,0.0,0.0,0.0,0.42769723927347547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,2.0145902514249707,10.790201571587652,0.063,18.612633606351952,64.25443198864566,1.1173310266841765,55500.0,0.03701259490110104,0.37068459067474535,0.0,0.0,0.0,0.4435935314429842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,2.015094341515387,10.77906102695567,0.063,18.609681123578785,64.25244011320962,1.157379628159013,55500.0,0.03834010548728662,0.3839712930195075,0.0,0.0,0.0,0.45949370734284467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,2.0155973118181754,10.767917747861985,0.063,18.606727911449404,64.25044774571762,1.1974380163358425,55500.0,0.03966799823414117,0.39726122431630634,0.0,0.0,0.0,0.4753977578050043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,2.016099167263072,10.75677174064798,0.063,18.603773971631323,64.24845488729466,1.237506168296887,55500.0,0.04099627254404033,0.410554376911539,0.0,0.0,0.0,0.4913056736998129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,2.0165999127474032,10.74562301162818,0.063,18.600819305784903,64.24646153906086,1.2775840612206377,55500.0,0.04232492782297753,0.42385074318340876,0.0,0.0,0.0,0.5072174459357598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,2.017099553136369,10.734471567090413,0.063,18.597863915563394,64.2444677021316,1.3176716723812,55500.0,0.04365396348054482,0.4371503155417072,0.0,0.0,0.0,0.5231330654592142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.0175980932633224,10.723317413296005,0.063,18.594907802612987,64.24247337761747,1.3577689791476453,55500.0,0.04498337892991383,0.45045308642759796,0.0,0.0,0.0,0.5390525232541666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.018095537930046,10.712160556479954,0.063,18.59195096857286,64.24047856662433,1.3978759589833671,55500.0,0.04631317358781698,0.4637590483134029,0.0,0.0,0.0,0.5549758103419731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,2.0185918919070263,10.701001002851102,0.063,18.58899341507523,64.23848327025334,1.4379925894454437,55500.0,0.04764334687452886,0.4770681937023895,0.0,0.0,0.0,0.5709029177811014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
